date,ticker,open_price,close_price,volume,intraday_low,intraday_high
6/27/2023,MTD,1289.28,1272.22,140154,1257.23,1289.28
6/27/2023,MGM,42.07,42.44,2051607,41.65,42.64
6/27/2023,MCHP,83.12,86.78,4756850,82.91,87.07
6/27/2023,MU,65.27,66.79,18211133,63.79,66.84
6/27/2023,MSFT,331.86,334.57,23659003,329.33,336.15
6/27/2023,MAA,150.08,151.45,718687,148.93,152.02
6/27/2023,MRNA,120.45,120.67,2258622,118.52,120.89
6/27/2023,MHK,99.9,103.29,591228,99.9,103.66
6/27/2023,MOH,289.97,290.74,592348,287.54,292.27
6/27/2023,TAP,65.58,65.81,1610753,65.3,65.96
6/27/2023,MDLZ,73.49,73.93,6238479,72.96,73.97
6/27/2023,MPWR,509.66,532.81,465943,509.45,533.11
6/27/2023,MNST,57.89,58.13,3154208,57.64,58.37
6/27/2023,MCO,336.95,338.83,379470,335.73,339.62
6/27/2023,MS,83.91,84.43,6127961,83.38,84.87
6/27/2023,MOS,34.2,34.74,3582229,33.32,34.78
6/27/2023,MSI,281.29,283.88,482541,280.93,285.03
6/27/2023,MSCI,466.21,465.08,456254,464.2,469.72
6/27/2023,NDAQ,49.53,49.82,3816246,49.32,50.16
6/27/2023,NTAP,74.38,74.98,1967023,73.5,75.29
6/27/2023,NFLX,417.39,417.08,4655307,411.5,420.88
6/27/2023,NWL,8.25,8.83,7220994,8.15,8.89
6/27/2023,NEM,42.64,42.46,6290412,41.91,42.76
6/27/2023,NWSA,18.95,19.23,1255615,18.9,19.37
6/27/2023,NWS,19.14,19.48,478469,19.11,19.6
6/27/2023,NEE,74.56,73.91,5977968,73.21,74.8
6/27/2023,NKE,112.53,113.61,7033694,112.43,114.18
6/27/2023,NI,27.26,27.44,2787578,27.15,27.52
6/27/2023,NDSN,243.22,244.45,336407,240.7,245.8
6/27/2023,NSC,222.04,222.59,917531,221.32,224.63
6/27/2023,NTRS,71.61,72.35,1614308,71.26,72.46
6/27/2023,NOC,448.24,448.44,520559,445.34,451.44
6/27/2023,NCLH,18.69,19.59,16268266,18.69,19.65
6/27/2023,NRG,36.26,36.59,8494663,35.63,36.9
6/27/2023,NUE,156.2,160.77,1258113,156.04,161.59
6/27/2023,NVDA,407.99,418.76,44773510,404.48,419.4
6/27/2023,NVR,6155.02,6330.2,25620,6155.02,6357.53
6/27/2023,NXPI,192,200.32,2191978,190.76,200.5
6/27/2023,ORLY,937,935.39,264204,932.44,940.72
6/27/2023,OXY,57.25,57.13,8986655,56.9,57.66
6/27/2023,ODFL,337.71,359.27,1518082,336.86,359.79
6/27/2023,OMC,94.41,96.75,1108487,94.41,97.22
6/27/2023,ON,88.63,91.87,5367637,88.1,91.95
6/27/2023,OKE,58.6,59.5,2509741,58.51,59.79
6/27/2023,ORCL,116.57,117.84,6936148,116.26,118.46
6/27/2023,OGN,20.42,20.62,1383588,20.19,20.72
6/27/2023,OTIS,87.5,87.74,1003768,86.95,87.93
6/27/2023,PCAR,79.45,80.36,1637591,78.92,80.41
6/27/2023,PKG,130.95,131.66,442307,129.73,132.5
6/27/2023,PARA,15.57,15.88,11223203,15.33,16.05
6/27/2023,PH,374.32,380.19,760172,374.32,382.13
6/27/2023,PAYX,111.04,111.07,1769185,110.65,111.83
6/27/2023,PAYC,312.58,313.97,453564,309.79,316.45
6/27/2023,PYPL,66.87,66.23,16307583,65.78,67.1
6/27/2023,PNR,61.18,62.7,997158,61.09,62.87
6/27/2023,PEP,184.67,186.22,5756083,183.96,186.61
6/27/2023,PKI,115.98,115.24,1633024,114.67,117.21
6/27/2023,PFE,36.96,36.42,32191299,36.28,37
6/27/2023,PCG,16.84,16.94,12733745,16.78,17
6/27/2023,PM,96.88,96.56,3321231,95.99,97.12
6/27/2023,PSX,91.59,92.57,3502045,91.18,93.03
6/27/2023,PNW,81.96,82,639407,81.65,82.6
6/27/2023,PXD,200.81,199.74,1258578,199.23,201.55
6/27/2023,PNC,123.43,124.01,1672488,122.57,124.8
6/27/2023,POOL,357.98,366.2,375966,353.57,368.29
6/27/2023,PPG,141.25,144.43,1081507,141.22,144.98
6/27/2023,PPL,26.54,26.63,3136337,26.48,26.67
6/27/2023,PFG,73.14,74.49,808436,72.85,74.72
6/27/2023,PG,148.44,150.02,5444775,148.39,150.17
6/27/2023,PGR,132.55,132.65,1191927,131.96,133.66
6/27/2023,PLD,119.73,120.87,3610293,119.05,121.6
6/27/2023,PRU,85.33,86.66,1555264,85.04,87.04
6/27/2023,PEG,62.43,62.72,1993337,62.34,62.98
6/27/2023,PTC,138.49,139.77,609404,138.44,140.31
6/27/2023,PSA,289.71,289.5,787519,288.01,291.38
6/27/2023,PHM,76.43,78.67,2179849,76.24,78.8
6/27/2023,QRVO,98.8,102.03,997073,98.03,102.19
6/27/2023,PWR,190.56,194.66,598563,190.56,194.88
6/27/2023,QCOM,116.74,119.79,7207843,115.65,119.93
6/27/2023,DGX,140.62,142.56,557111,139.89,143.01
6/27/2023,RL,118.9,121.5,571814,118.32,121.81
6/27/2023,RJF,97.9,100.56,1060046,97.69,100.89
6/27/2023,RTX,96.35,96.53,3895785,95.85,96.75
6/27/2023,O,60.07,60.19,4739250,59.73,60.33
6/27/2023,REG,59.59,60.33,835841,59.35,60.46
6/27/2023,REGN,785.96,716.09,2027529,705,786.24
6/27/2023,RF,17.27,17.52,3709122,17.16,17.57
6/27/2023,RSG,148.04,150.19,1082623,147.51,150.21
6/27/2023,RMD,215.42,214.1,532227,212.61,215.42
6/27/2023,RHI,72.08,72.06,546993,71.2,72.36
6/27/2023,ROK,317.5,322.66,581603,317.25,324.76
6/27/2023,ROL,41.81,42.29,1100886,41.74,42.31
6/27/2023,ROP,465.14,470.87,566069,464.82,472.04
6/27/2023,ROST,108.33,108.92,1876108,107.88,109.33
6/27/2023,RCL,98.22,101.43,5549205,97.91,101.71
6/27/2023,SPGI,389.65,391.01,703781,386.64,392.32
6/27/2023,CRM,208.14,208.82,3956431,207.52,210.48
6/27/2023,SBAC,225.03,225.5,780048,223.58,226.64
6/27/2023,SLB,47.9,48.14,12807599,47.26,48.47
6/27/2023,STX,60.83,62.11,2203882,60,62.3
6/27/2023,SEE,38.91,39.31,1848858,38.56,39.62
6/27/2023,SRE,146.34,146.27,1167789,145.09,146.54
6/27/2023,NOW,541.14,539.96,830393,535.01,545.08
6/27/2023,SHW,251.98,256.69,1640076,251.45,258.69
6/27/2023,SPG,111.04,113.07,1288100,110.33,113.29
6/27/2023,SWKS,104.55,108.12,1569784,103.98,108.28
6/27/2023,SJM,151.81,150.78,590822,150.39,152.5
6/27/2023,SNA,278.65,283.18,243527,277.24,284.28
6/27/2023,SEDG,249.62,255.23,1241716,246.07,255.25
6/27/2023,SO,71.85,71.12,3690755,70.85,71.94
6/27/2023,LUV,34.05,35.25,7428937,33.99,35.45
6/27/2023,SWK,89.77,92.71,1651061,89.17,93
6/27/2023,SBUX,98.39,98.72,4769805,97.72,99.06
6/27/2023,STT,71.27,72.59,1434780,70.79,72.65
6/27/2023,STLD,104.78,106.73,1415333,104.22,107.57
6/27/2023,STE,211.95,216.82,395489,210.33,217.19
6/27/2023,SYK,297.32,298.75,888498,295.08,298.93
6/27/2023,SYF,32.69,33.37,3092162,32.41,33.42
6/27/2023,SNPS,420.97,426.78,795792,416.87,429.12
6/27/2023,SYY,72.31,73.38,2441735,72.26,73.69
6/27/2023,TMUS,135,136.17,3799217,134.85,136.6
6/27/2023,TROW,107.44,109.23,870138,107.1,109.65
6/27/2023,TTWO,144.36,146.34,1553452,143.82,146.79
6/27/2023,TPR,43.02,43.4,1764890,42.62,43.68
6/27/2023,TRGP,71.71,72.69,1567290,71.21,72.76
6/27/2023,TGT,133.2,132.51,6011378,132.41,134.84
6/27/2023,TEL,134.77,136.73,1212619,133.91,136.88
6/27/2023,TDY,403.69,403.01,162791,401.95,405.25
6/27/2023,TFX,239.18,236.62,224947,234.79,239.18
6/27/2023,TER,106.63,110.29,2173898,105.5,110.46
6/27/2023,TSLA,243.24,250.21,162958038,240.85,250.39
6/27/2023,TXN,169.83,176.31,5700589,169.49,176.57
6/27/2023,TXT,65.22,66.44,762242,65.01,66.5
6/27/2023,TMO,520.34,509.62,2008878,503.31,522.31
6/27/2023,TJX,82.32,82.8,3804377,82.32,83.28
6/27/2023,TSCO,219.3,223.13,922267,219.26,223.34
6/27/2023,TT,187.99,188.34,1183105,187.24,189.38
6/27/2023,TDG,856.35,873.74,195504,855.66,873.88
6/27/2023,TRV,172.59,172.59,841497,172.1,173.95
6/27/2023,TRMB,50.62,51.67,805108,50.35,51.76
6/27/2023,TFC,30.02,30.49,8227581,29.69,30.7
6/27/2023,TYL,404.47,407.74,264358,404.47,412.75
6/27/2023,TSN,50.31,49.96,2293956,49.94,50.69
6/27/2023,USB,32.29,32.55,9718172,31.83,32.69
6/27/2023,UDR,41.62,42.21,1762742,41.45,42.36
6/27/2023,ULTA,462.63,462.43,837248,454.07,462.89
6/27/2023,UNP,201.64,202.98,2374139,200.66,203.38
6/27/2023,UAL,53.97,56.03,10639279,53.87,56.44
6/27/2023,UPS,173.39,174.67,2691043,172.47,175.49
6/27/2023,URI,415.01,423.27,892284,412.93,426.8
6/27/2023,UNH,478.13,482.56,3672905,477.77,483.18
6/27/2023,UHS,151.08,156.37,751700,151,157.1
6/27/2023,VLO,113.21,115.35,3450378,112.04,116.07
6/27/2023,VTR,46.19,46.96,2907364,45.77,47.18
6/27/2023,VRSN,219.54,221.44,432193,219.16,222.59
6/27/2023,VRSK,223.77,224.63,1385436,222.5,225.26
6/27/2023,VZ,36.37,36.55,17698068,36.22,36.68
6/27/2023,VRTX,348.05,347.12,1190741,342.63,350.08
6/27/2023,VFC,18.63,19.13,4564178,18.31,19.31
6/27/2023,VTRS,9.77,9.85,4919505,9.7,9.91
