Date,Ticker,Open,Close,Volume,Intraday Low,Intraday High
2023-06-29,PPL,26.06,26.18,5206664,25.91,26.30
2023-06-29,PFG,74.10,75.61,866309,73.95,75.65
2023-06-29,PG,148.48,149.38,7309765,147.10,149.70
2023-06-29,PGR,131.81,132.07,1887590,131.65,132.67
2023-06-29,PLD,120.24,121.50,2923656,119.77,121.83
2023-06-29,PRU,86.86,87.84,1380973,86.69,87.88
2023-06-29,PEG,61.10,61.84,1812360,60.90,62.17
2023-06-29,PTC,141.00,142.63,678365,141.00,143.75
2023-06-29,PSA,287.10,288.59,691077,284.50,288.71
2023-06-29,PHM,78.30,77.32,1793781,76.54,77.69
2023-06-29,QRVO,101.30,101.34,735330,99.81,101.57
2023-06-29,PWR,193.36,194.85,812844,192.48,195.12
2023-06-29,QCOM,117.56,118.06,5136498,116.88,118.15
2023-06-29,DGX,140.89,141.14,724711,140.29,141.57
2023-06-29,RL,121.80,123.11,641884,121.43,124.21
2023-06-29,RJF,102.24,103.66,958812,102.20,104.16
2023-06-29,RTX,96.00,97.80,3896576,95.85,97.89
2023-06-29,O,59.88,60.22,3595705,59.61,60.24
2023-06-29,REG,60.09,61.68,612018,59.86,61.69
2023-06-29,REGN,696.77,708.42,914910,689.02,709.48
2023-06-29,RF,17.60,17.69,6807627,17.56,17.83
2023-06-29,RSG,148.45,151.44,969833,148.00,151.59
2023-06-29,RMD,214.30,216.23,749430,214.12,217.33
2023-06-29,RHI,72.59,74.07,748823,72.45,74.16
2023-06-29,ROK,320.57,324.24,524288,319.75,325.24
2023-06-29,ROL,42.34,42.50,833465,42.13,42.59
2023-06-29,ROP,470.73,476.13,326457,470.27,476.60
2023-06-29,ROST,108.14,108.87,1713783,107.76,109.29
2023-06-29,RCL,103.39,101.56,3356374,101.49,103.98
2023-06-29,SPGI,391.59,395.84,964419,389.83,396.86
2023-06-29,CRM,211.90,210.43,3704145,209.72,212.65
2023-06-29,SBAC,226.18,229.68,731069,223.98,229.76
2023-06-29,SLB,48.87,48.47,10316550,47.66,48.91
2023-06-29,STX,61.72,61.94,1487420,61.31,62.56
2023-06-29,SEE,38.37,39.35,1304695,38.23,39.42
2023-06-29,SRE,144.33,144.89,870135,144.01,146.21
2023-06-29,NOW,549.97,548.08,689841,542.68,550.74
2023-06-29,SHW,255.35,261.29,1384073,255.12,262.37
2023-06-29,SPG,112.32,114.76,1226973,112.00,114.76
2023-06-29,SWKS,108.71,109.88,1505782,107.85,109.99
2023-06-29,SJM,144.72,146.37,770944,144.09,146.79
2023-06-29,SNA,282.54,286.96,285822,282.54,287.07
2023-06-29,SEDG,257.42,253.96,1081873,250.88,260.93
2023-06-29,SO,69.51,69.14,4710833,68.67,69.89
2023-06-29,LUV,35.47,35.95,8137910,35.27,35.97
2023-06-29,SWK,91.85,94.61,2085524,91.75,94.95
