Date,Ticker,Open,Close,Volume,Low,High
2/14/2023,^SP500-25,1158.64,1181.11,510872600,1151.98,1183.62
2/13/2023,^SP500-25,1150.07,1167.37,459994500,1143.03,1167.66
2/10/2023,^SP500-25,1153.9,1150.55,516382100,1141.2,1159.37
2/9/2023,^SP500-25,1182.95,1164.75,570252500,1159.2,1190.31
2/8/2023,^SP500-25,1172.93,1167.17,503661900,1159.62,1176.51
2/7/2023,^SP500-25,1169.08,1177.7,603322400,1148.23,1180.72
2/6/2023,^SP500-25,1173.03,1175.12,506322800,1165.53,1182.26
6/27/2023,^SP500-30,774.05,777.41,166035700,773.23,778.14
6/26/2023,^SP500-30,774,774.79,127727200,768.94,775.59
6/23/2023,^SP500-30,779.34,774.52,215967500,773.95,779.47
6/22/2023,^SP500-30,779.75,779.13,124271600,776.2,779.97
6/21/2023,^SP500-30,771.68,775.15,141928700,769.27,777.48
6/20/2023,^SP500-30,778.66,772.16,142781400,772.12,779.31
6/16/2023,^SP500-30,779.44,777.99,243911500,777.5,782.24
6/15/2023,^SP500-30,772.81,777.63,164589100,771.35,779.5
6/14/2023,^SP500-30,768.71,770.46,155780100,767.12,772.97
6/13/2023,^SP500-30,762.14,766.19,137310000,761.28,767.32
6/12/2023,^SP500-30,764.01,763,142537200,759.2,764.5
6/9/2023,^SP500-30,762.04,762.95,123543800,760,765.14
6/8/2023,^SP500-30,758.5,763.84,126987400,757.8,764.03
6/7/2023,^SP500-30,756.93,758.22,172033400,753.97,760.33
6/6/2023,^SP500-30,765.07,760.72,132034300,756.27,766.12
6/5/2023,^SP500-30,766.23,764.31,125725800,762.9,771.13
6/2/2023,^SP500-30,757.23,766.99,153846000,756.84,767.4
6/1/2023,^SP500-30,756.05,756.44,176818800,752.7,757.81
5/31/2023,^SP500-30,757.32,757.09,363996600,753.47,761.36
5/30/2023,^SP500-30,760.46,756.55,164164200,754.13,762.27
5/26/2023,^SP500-30,761.29,764.84,147625000,758.95,765.94
5/25/2023,^SP500-30,762.06,762.16,165712800,756.94,764.78
5/24/2023,^SP500-30,773.43,768.05,128804700,767.33,773.68
5/23/2023,^SP500-30,776.58,773.06,137650500,771.93,776.58
5/22/2023,^SP500-30,789.8,778.59,134853500,777.94,789.8
5/19/2023,^SP500-30,791.76,790.19,133463700,786.98,792.19
5/18/2023,^SP500-30,790.71,790.14,142190900,785.15,792.12
5/17/2023,^SP500-30,796.1,793.66,134992700,788.96,796.53
5/16/2023,^SP500-30,798.98,794.47,121077400,793.23,799.71
5/15/2023,^SP500-30,805.67,801.49,107382700,798.11,805.92
5/12/2023,^SP500-30,800.86,803.68,106434800,799.7,803.9
5/11/2023,^SP500-30,798.79,800.82,107415600,793.75,801.15
5/10/2023,^SP500-30,800.58,798.32,127019500,792.7,803.21
5/9/2023,^SP500-30,801.05,799.5,116585500,797.97,801.97
5/8/2023,^SP500-30,802.17,801.94,130652100,799.02,802.68
5/5/2023,^SP500-30,797.12,803.74,120456200,796.91,804.55
5/4/2023,^SP500-30,800.28,796.63,137327000,794,800.41
5/3/2023,^SP500-30,803.14,798.98,172357900,798.65,805.81
5/2/2023,^SP500-30,807,805.32,144457300,797.12,807.4
5/1/2023,^SP500-30,806.85,807.92,118634200,805.74,811.16
4/28/2023,^SP500-30,804.52,807.2,163299200,803.61,808.53
4/27/2023,^SP500-30,794.14,803.31,131760100,794.14,803.88
4/26/2023,^SP500-30,796.85,795.05,116318000,794.4,800.22
4/25/2023,^SP500-30,802.96,800.94,132248000,800.19,807.19
4/24/2023,^SP500-30,799.89,801.87,110262900,799.47,802.51
4/21/2023,^SP500-30,799.42,798.68,139722000,796.93,802.85
